bundle, executeCount200807, userCount200807, executeCount200808, userCount200808, executeCount200809, userCount200809, executeCount200810, userCount200810, executeCount200811, userCount200811, executeCount200812, userCount200812, executeCount200901, userCount200901, executeCount200902, userCount200902, executeCount200903, userCount200903
org.eclipse.datatools.enablement.ibm.db2.iseries.ui, 557, 470, 627, 546, 669, 577, 888, 749, 1002, 844, 943, 790, 980, 844, 1055, 878, 304, 283
org.eclipse.datatools.enablement.ibm.db2.luw, 834, 595, 978, 696, 1061, 753, 1459, 1000, 1616, 1123, 1497, 1071, 1581, 1151, 1667, 1139, 447, 384
org.eclipse.datatools.enablement.ibm.db2.luw.ui, 811, 669, 886, 762, 883, 752, 1277, 1081, 1371, 1154, 1295, 1107, 1284, 1104, 1382, 1157, 387, 356
org.eclipse.datatools.enablement.ibm.db2.zseries, 705, 540, 900, 669, 1016, 734, 1374, 964, 1517, 1075, 1416, 1038, 1519, 1127, 1589, 1100, 425, 368
org.eclipse.datatools.enablement.ibm.db2.zseries.ui, 560, 475, 621, 541, 664, 576, 888, 754, 1001, 841, 954, 798, 987, 849, 1039, 865, 302, 281
org.eclipse.datatools.enablement.ibm.informix.ui, 551, 469, 627, 547, 661, 571, 891, 752, 1008, 850, 953, 798, 981, 842, 1057, 876, 305, 282
org.eclipse.datatools.enablement.ibm.ui, 548, 461, 610, 531, 661, 568, 888, 749, 979, 827, 938, 789, 975, 842, 1028, 853, 303, 280
org.eclipse.datatools.enablement.jdt.classpath, 86, 53, 136, 80, 159, 86, 264, 141, 305, 175, 375, 211, 357, 200, 309, 183, 98, 72
org.eclipse.datatools.enablement.msft.sqlserver, 461, 341, 542, 368, 608, 442, 909, 597, 884, 617, 870, 613, 932, 670, 1048, 700, 288, 246
org.eclipse.datatools.enablement.msft.sqlserver.ui, 614, 511, 649, 564, 678, 585, 938, 790, 1079, 904, 986, 829, 990, 848, 1074, 894, 313, 291
org.eclipse.datatools.enablement.mysql, 534, 312, 777, 469, 824, 487, 1225, 734, 1518, 906, 1606, 942, 1643, 991, 1683, 979, 515, 382
org.eclipse.datatools.enablement.mysql.ui, 669, 560, 730, 630, 753, 646, 1007, 863, 1165, 986, 1081, 917, 1100, 943, 1170, 974, 333, 308
org.eclipse.datatools.enablement.oda.ws.ui, 11, 10, 25, 25, 24, 22, 14, 14, 25, 24, 27, 26, 18, 18, 23, 21, 0, 0
org.eclipse.datatools.enablement.oda.xml.ui, 108, 103, 150, 140, 137, 122, 130, 126, 163, 156, 151, 143, 146, 134, 134, 123, 25, 25
org.eclipse.datatools.enablement.oracle, 351, 161, 395, 218, 531, 295, 743, 395, 852, 457, 932, 494, 911, 496, 1050, 578, 269, 199
org.eclipse.datatools.enablement.oracle.ui, 645, 538, 682, 593, 713, 614, 984, 835, 1086, 908, 994, 835, 1032, 897, 1103, 922, 318, 295
org.eclipse.datatools.enablement.postgresql, 186, 100, 214, 118, 298, 167, 353, 207, 382, 226, 421, 241, 530, 273, 492, 286, 128, 94
org.eclipse.datatools.enablement.postgresql.ui, 592, 499, 644, 553, 675, 581, 925, 781, 1030, 864, 967, 808, 1002, 871, 1074, 896, 311, 288
org.eclipse.datatools.enablement.sap.maxdb, 438, 329, 430, 333, 506, 384, 704, 500, 729, 537, 638, 498, 709, 561, 768, 554, 189, 171
org.eclipse.datatools.enablement.sap.maxdb.ui, 575, 477, 630, 545, 669, 571, 900, 759, 1022, 857, 952, 798, 967, 835, 1059, 887, 305, 283
org.eclipse.datatools.enablement.sybase, 1474, 1006, 1751, 1138, 1901, 1274, 2527, 1665, 2776, 1813, 2718, 1847, 2783, 1863, 2942, 1902, 822, 648
org.eclipse.datatools.enablement.sybase.asa, 2627, 1671, 3322, 2070, 3672, 2239, 5006, 3015, 5543, 3335, 5945, 3552, 5913, 3493, 6254, 3685, 1900, 1410
org.eclipse.datatools.enablement.sybase.asa.models, 644, 501, 797, 599, 879, 648, 1204, 862, 1326, 951, 1148, 862, 1221, 939, 1322, 961, 358, 309
org.eclipse.datatools.enablement.sybase.asa.ui, 815, 612, 962, 725, 1047, 783, 1461, 1055, 1640, 1177, 1503, 1116, 1506, 1162, 1661, 1216, 445, 390
org.eclipse.datatools.enablement.sybase.ase, 2625, 1674, 3298, 2053, 3654, 2237, 5012, 3017, 5548, 3339, 5954, 3552, 5919, 3498, 6259, 3688, 1940, 1437
org.eclipse.datatools.enablement.sybase.ase.models, 646, 503, 791, 597, 876, 645, 1194, 858, 1293, 928, 1139, 855, 1206, 929, 1314, 956, 342, 296
org.eclipse.datatools.enablement.sybase.ase.ui, 837, 618, 986, 744, 1054, 788, 1488, 1075, 1646, 1178, 1498, 1117, 1511, 1165, 1690, 1237, 441, 389
org.eclipse.datatools.enablement.sybase.models, 86, 70, 84, 72, 100, 79, 125, 98, 146, 120, 116, 97, 106, 92, 131, 97, 19, 19
org.eclipse.datatools.enablement.sybase.ui, 700, 582, 794, 655, 832, 670, 1127, 901, 1241, 1000, 1131, 921, 1128, 933, 1210, 963, 326, 301
org.eclipse.datatools.modelbase.dbdefinition, 592, 470, 654, 527, 742, 590, 1023, 773, 1109, 863, 979, 778, 1045, 850, 1122, 862, 307, 278
org.eclipse.datatools.modelbase.derby, 40, 30, 55, 45, 51, 40, 89, 66, 87, 66, 68, 58, 95, 72, 101, 72, 25, 22
org.eclipse.datatools.modelbase.sql, 3346, 2136, 4473, 2789, 5116, 3206, 7249, 4347, 8102, 4857, 8788, 5183, 8776, 5154, 9466, 5465, 2862, 2154
org.eclipse.datatools.modelbase.sql.edit, 39, 38, 27, 27, 39, 30, 33, 30, 60, 57, 61, 57, 40, 38, 80, 67, 16, 15
org.eclipse.datatools.modelbase.sql.query, 133, 122, 98, 95, 96, 87, 155, 145, 160, 156, 151, 143, 144, 137, 161, 150, 25, 24
org.eclipse.datatools.modelbase.sql.query.edit, 131, 120, 98, 95, 95, 86, 160, 149, 163, 159, 145, 139, 139, 132, 159, 148, 26, 25
org.eclipse.datatools.sqltools.common.ui, 1147, 938, 1465, 1181, 1711, 1336, 2546, 1944, 2748, 2148, 2883, 2227, 2749, 2088, 3038, 2276, 891, 771
org.eclipse.datatools.sqltools.data.core, 176, 160, 166, 151, 162, 141, 263, 216, 278, 239, 279, 241, 281, 244, 289, 237, 63, 61
org.eclipse.datatools.sqltools.data.ui, 311, 263, 375, 313, 380, 307, 544, 419, 544, 455, 521, 439, 498, 425, 583, 463, 126, 119
org.eclipse.datatools.sqltools.db.derby, 2409, 1560, 3326, 2116, 3843, 2400, 5612, 3352, 6306, 3735, 6905, 4038, 6810, 3954, 7371, 4234, 2207, 1669
org.eclipse.datatools.sqltools.db.generic, 2448, 1588, 3392, 2150, 3918, 2450, 5743, 3425, 6418, 3814, 7106, 4138, 7006, 4056, 7613, 4352, 2277, 1718
org.eclipse.datatools.sqltools.ddlgen.ui, 469, 388, 512, 426, 554, 445, 770, 607, 809, 665, 734, 606, 688, 586, 804, 646, 229, 214
org.eclipse.datatools.sqltools.debugger.core, 1368, 941, 1971, 1371, 2399, 1649, 3576, 2390, 3871, 2629, 4260, 2839, 4240, 2793, 4620, 3030, 1349, 1115
org.eclipse.datatools.sqltools.editor.core, 2486, 1603, 3402, 2160, 3929, 2449, 5756, 3436, 6449, 3842, 7128, 4160, 6999, 4064, 7636, 4374, 2269, 1717
org.eclipse.datatools.sqltools.parsers.sql, 26, 25, 12, 12, 16, 15, 58, 48, 100, 69, 64, 43, 49, 32, 60, 38, 0, 0
org.eclipse.datatools.sqltools.parsers.sql.lexer, 14, 13, 7, 6, 9, 9, 16, 15, 25, 25, 29, 27, 7, 7, 16, 16, 0, 0
org.eclipse.datatools.sqltools.parsers.sql.query, 293, 164, 379, 211, 500, 264, 892, 436, 1099, 556, 1247, 607, 1297, 622, 1484, 666, 400, 246
org.eclipse.datatools.sqltools.plan, 524, 452, 599, 504, 604, 503, 1004, 813, 1004, 808, 1027, 857, 996, 807, 1181, 921, 329, 297
