yearmonth,ccode,userCount
200809,pl,1165
200804,pl,24
200903,pl,1401
200808,pl,1009
200810,pl,1797
200805,pr,1
200901,pr,23
200902,pr,66
200807,pr,5
200812,pr,69
200806,pr,1
200811,pr,58
200809,pr,60
200903,pr,41
200808,pr,16
200810,pr,68
200808,ps,6
200810,ps,16
200901,ps,19
200902,ps,15
200807,ps,6
200812,ps,18
200806,ps,1
200811,ps,12
200809,ps,4
200903,ps,11
200903,pt,482
200808,pt,180
200810,pt,609
200805,pt,6
200901,pt,675
200902,pt,601
200807,pt,153
200812,pt,724
200806,pt,12
200811,pt,714
200809,pt,265
200804,pt,4
200903,py,11
200808,py,15
200810,py,18
200901,py,24
200902,py,16
200807,py,6
200812,py,21
200811,py,19
200809,py,19
200903,qa,12
200808,qa,5
200810,qa,18
200901,qa,15
200902,qa,16
200807,qa,1
200812,qa,17
200811,qa,24
200809,qa,6
200805,ro,17
200903,ro,366
200808,ro,245
200810,ro,450
200806,ro,19
200901,ro,601
200902,ro,571
200807,ro,196
200812,ro,578
200811,ro,600
200809,ro,302
200804,ro,7
200804,rs,2
200805,rs,1
200903,rs,121
200808,rs,76
200810,rs,139
200806,rs,2
200901,rs,190
200902,rs,196
200807,rs,56
200812,rs,185
200811,rs,170
200809,rs,100
200809,ru,776
200804,ru,27
200805,ru,41
200903,ru,773
200808,ru,592
200810,ru,1063
200806,ru,73
200901,ru,1062
200902,ru,1290
200807,ru,490
200812,ru,1155
200811,ru,1087
200809,rw,2
200810,rw,1
200812,rw,2
200811,rw,1
200811,sa,30
200809,sa,9
200903,sa,7
200808,sa,17
200810,sa,14
200901,sa,30
200902,sa,24
200807,sa,10
200812,sa,36
200809,sd,2
200903,sd,4
200901,sd,3
200902,sd,5
200811,se,1388
200804,se,11
200809,se,937
200805,se,34
200808,se,517
200903,se,898
200810,se,1247
200806,se,55
200807,se,318
200901,se,1331
200902,se,1544
200812,se,1295
200811,sg,415
200804,sg,3
200809,sg,279
200805,sg,7
200808,sg,186
200903,sg,252
200810,sg,392
200806,sg,9
200807,sg,129
200901,sg,404
200902,sg,399
200812,sg,373
200812,si,241
200811,si,234
200809,si,83
200805,si,1
200808,si,77
200903,si,142
200810,si,146
200806,si,5
200807,si,55
200901,si,224
200902,si,206
200807,sk,94
200901,sk,223
200902,sk,276
200812,sk,232
200804,sk,4
200811,sk,254
200809,sk,138
200805,sk,6
200808,sk,122
200903,sk,178
200810,sk,225
200806,sk,10
200901,sl,1
200902,sm,3
200901,sm,2
200811,sm,1
200809,sm,2
200903,sm,1
200810,sm,1
200807,sn,11
200812,sn,26
200902,sn,51
200901,sn,38
200811,sn,22
200809,sn,6
200805,sn,2
200808,sn,7
200903,sn,23
200810,sn,15
200806,sn,3
200807,sr,1
200808,sr,1
200811,st,1
200806,sv,1
200807,sv,8
200812,sv,21
200902,sv,40
200901,sv,32
200811,sv,24
200809,sv,22
200808,sv,16
200903,sv,24
200810,sv,20
200810,sy,1
200807,sy,1
200812,sy,3
200902,sy,2
200901,sy,2
200811,sy,2
200809,sy,2
200808,sy,1
200903,sy,1
200903,sz,4
200812,sz,2
200902,sz,5
200901,sz,5
200811,sz,3
200902,td,1
200901,td,1
200811,td,1
200808,tg,4
200810,tg,2
200903,tg,2
200804,tg,1
200807,tg,1
200812,tg,4
200902,tg,2
200901,tg,3
200809,tg,2
200811,tg,1
200806,th,6
200808,th,164
200810,th,250
200903,th,185
200807,th,128
200812,th,390
200902,th,420
200901,th,442
200805,th,3
200809,th,181
200811,th,386
200901,tj,1
200806,tn,5
200808,tn,45
200810,tn,95
200903,tn,120
200804,tn,1
200807,tn,35
200812,tn,166
200902,tn,234
200901,tn,171
200805,tn,3
200809,tn,60
200811,tn,130
200806,tr,17
200808,tr,281
200810,tr,564
200903,tr,408
200804,tr,8
200807,tr,217
200812,tr,708
200902,tr,586
200901,tr,746
200805,tr,14
200809,tr,284
200811,tr,686
200809,tt,4
200811,tt,6
200808,tt,2
200810,tt,5
200903,tt,3
200807,tt,1
200812,tt,5
200902,tt,3
200901,tt,5
200809,tw,1151
200811,tw,1770
200806,tw,34
200808,tw,821
200810,tw,1704
200903,tw,1280
200804,tw,12
200807,tw,514
200812,tw,1980
200902,tw,1869
200805,tw,14
200901,tw,1730
200810,tz,2
200807,tz,1
200812,tz,1
200902,tz,3
200809,ua,292
200811,ua,463
200806,ua,26
200808,ua,250
200903,ua,308
200810,ua,392
200804,ua,9
200807,ua,226
200812,ua,503
200902,ua,523
200805,ua,15
200901,ua,536
200811,ug,2
200901,um,1
200805,us,425
200901,us,22910
200809,us,15433
200811,us,21928
200806,us,957
200808,us,9642
200903,us,17183
200810,us,20666
200804,us,262
200807,us,7085
200812,us,21655
200902,us,27140
200902,uy,118
200901,uy,75
200809,uy,56
200811,uy,78
200806,uy,3
200808,uy,37
200903,uy,81
200810,uy,81
200807,uy,30
200812,uy,61
200812,uz,5
200902,uz,9
200901,uz,6
200809,uz,4
200811,uz,3
200808,uz,2
200903,uz,2
200810,uz,2
200807,uz,1
200902,vc,1
200809,vc,1
200811,vc,1
200808,vc,1
200903,vc,1
200810,vc,1
200807,ve,68
200805,ve,4
200812,ve,194
200902,ve,251
200901,ve,265
200809,ve,151
200806,ve,6
200811,ve,232
200808,ve,109
200903,ve,107
200810,ve,187
200812,vg,1
200810,vg,1
200902,vi,1
200807,vn,118
200805,vn,7
200812,vn,402
200901,vn,305
200902,vn,419
200809,vn,282
200806,vn,8
200811,vn,451
200808,vn,194
200903,vn,258
200810,vn,439
200810,xx,1777
200807,xx,395
200805,xx,8
200812,xx,3048
200901,xx,3677
200902,xx,4583
200809,xx,961
200806,xx,27
200811,xx,2533
200804,xx,7
200808,xx,614
200903,xx,2745
200812,ye,2
200902,ye,1
200811,ye,1
200808,ye,1
200903,ye,1
200903,za,100
200810,za,116
200807,za,85
200805,za,1
200812,za,115
200901,za,141
200902,za,157
200809,za,104
200806,za,7
200804,za,2
200811,za,123
200808,za,88
200903,zm,1
200810,zm,1
200812,zm,1
200901,zm,1
200902,zm,1
200810,zw,3
200812,zw,1
200902,zw,1
200809,zw,1
200811,zw,1
