yearmonth,editor,executeCount,userCount
200807,org.eclipse.m2m.atl.adt.editor.AtlEditor,430,12
200807,org.eclipse.m2m.qvt.oml.editor.ui.QvtEditor,264,9
200807,org.eclipse.m2m.qvt.oml.trace.editor,15,2
200807,org.eclipse.mat.ui.editors.HeapEditor,53,10
200807,org.eclipse.mofscript.editor.MofScriptTextEditor,107,3
200807,org.eclipse.mtj.ui.editor.JadEditor,7,3
200807,org.eclipse.mylyn.tasks.ui.editors.category,24,16
200807,org.eclipse.mylyn.tasks.ui.editors.task,8169,989
200807,org.eclipse.ocl.examples.employee.presentation.EmployeeEditorID,14,1
200807,org.eclipse.pde.ui.buildEditor,2034,557
200807,org.eclipse.pde.ui.ctxHelpEditor,19,12
200807,org.eclipse.pde.ui.featureEditor,819,137
200807,org.eclipse.pde.ui.manifestEditor,15631,1314
200807,org.eclipse.pde.ui.productEditor,1956,274
200807,org.eclipse.pde.ui.sampleEditor,13,10
200807,org.eclipse.pde.ui.schemaEditor,393,67
200807,org.eclipse.pde.ui.simpleCheatSheetEditor,12,5
200807,org.eclipse.pde.ui.siteEditor,275,57
200807,org.eclipse.pde.ui.targetEditor,97,24
200807,org.eclipse.pde.ui.tocEditor,159,20
200807,org.eclipse.photran.ui.FixedFormFortranEditor,10,1
200807,org.eclipse.php.editor,11478,339
200807,org.eclipse.ptp.ui.views.parallelProcessView,38,1
200807,org.eclipse.smarty.editor,2,1
200807,org.eclipse.spliteditor.SplitTextEditor,2,1
200807,org.eclipse.stp.bpmn.diagram.part.BpmnDiagramEditorID,59,13
200807,org.eclipse.stp.eid.datamodel.diagram.part.Cimero2EditorDiagramEditorID,10,2
200807,org.eclipse.stp.im.presentation.ImEditorID,88,2
200807,org.eclipse.stp.policy.wtp.editor.OperationPolicyMultiPageEditor,25,2
200807,org.eclipse.stp.sca.diagram.part.ScaDiagramEditorID,217,16
200807,org.eclipse.stp.sca.presentation.ScaEditorID,157,14
200807,org.eclipse.stp.ui.xef.editor.XefEditor,30,5
200807,org.eclipse.tptp.symptom.internal.presentation.SymptomEditor,5,2
200807,org.eclipse.ui.browser.editor,43072,3781
200807,org.eclipse.ui.DefaultTextEditor,72297,8701
200807,org.eclipse.ui.examples.contributions.editor,9,1
200807,org.eclipse.ui.examples.templateeditor.editors.TemplateEditor,1,1
200807,org.eclipse.ui.forms.article.base-editor,1,1
200807,org.eclipse.ui.internal.ide.dialogs.WelcomeEditor,1,1
200807,org.eclipse.ui.JavaEditor,1,1
200807,org.eclipse.ui.systemInPlaceEditor,897,268
200807,org.eclipse.uml2.diagram.activity.part.UMLDiagramEditorID,175,34
200807,org.eclipse.uml2.diagram.clazz.part.UMLDiagramEditorID,1171,154
200807,org.eclipse.uml2.diagram.component.part.UMLDiagramEditorID,47,13
200807,org.eclipse.uml2.diagram.csd.part.UMLDiagramEditorID,39,9
200807,org.eclipse.uml2.diagram.deploy.part.UMLDiagramEditorID,78,10
200807,org.eclipse.uml2.diagram.profile.part.UMLDiagramEditorID,53,10
200807,org.eclipse.uml2.diagram.statemachine.part.UMLDiagramEditorID,119,10
200807,org.eclipse.uml2.diagram.usecase.part.UMLDiagramEditorID,200,45
200807,org.eclipse.uml2.uml.editor.presentation.UMLEditorID,836,169
200807,org.eclipse.ve.internal.java.codegen.editorpart.JavaVisualEditor,3695,217
200807,org.eclipse.vtp.desktop.editors.core.applicationeditor,26,1
200807,org.eclipse.vtp.desktop.editors.voice.editor.VoiceEditor,2,1
200807,org.eclipse.weaver.globalWeaverEditorID,10,1
200807,org.eclipse.webbrowser,3,1
200807,org.eclipse.wst.css.core.csssource.source,12965,1538
200807,org.eclipse.wst.dtd.core.dtdsource.source,782,202
200807,org.eclipse.wst.html.core.htmlsource.source,36079,3059
200807,org.eclipse.wst.javascript.ui.internal.editor.JSMultiPageEditorPart,43,2
200807,org.eclipse.wst.jsdt.ui.ClassFileEditor,534,162
200807,org.eclipse.wst.jsdt.ui.CompilationUnitEditor,25674,1989
200807,org.eclipse.wst.server.ui.editor,4146,1315
200807,org.eclipse.wst.sse.ui.StructuredTextEditor,13,5
200807,org.eclipse.wst.wsdl.ui.internal.WSDLEditor,2338,316
200807,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,146915,11011
200807,org.eclipse.wst.xsd.ui.internal.editor.InternalXSDMultiPageEditor,5844,625
200807,org.eclipse.wst.xsl.ui.XSLEditor,623,45
200807,org.eclipse.xml.editor.editors.XMLMultiPageEditor,2,1
200807,org.eclipse.xsd.presentation.XSDEditorID,147,28
200808,org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor,1077,64
200808,org.eclipse.am3.tools.tge,517,2
200808,org.eclipse.ant.ui.internal.editor.AntEditor,35560,3934
200808,org.eclipse.atf.mozilla.ide.ui.MozBrowserEditor,3,1
200808,org.eclipse.birt.report.designer.ui.editors.LibraryEditor,307,37
