yearmonth,view,executeCount,userCount
200806,org.eclipse.debug.ui.VariableView,2248,292
200806,org.eclipse.dltk.ui.ScriptExplorer,72,6
200806,org.eclipse.dltk.ui.TypeHierarchy,1,1
200806,org.eclipse.ecf.example.collab.discoveryview,19,6
200806,org.eclipse.ecf.internal.example.collab.ui.LineChatView,17,5
200806,org.eclipse.ecf.presence.ui.chatroom.ChatRoomManagerView,14,5
200806,org.eclipse.ecf.presence.ui.MessagesView,10,1
200806,org.eclipse.ecf.presence.ui.MultiRosterView,21,4
200806,org.eclipse.emf.ecoretools.internal.views.EClassHierarchyView,6,3
200806,org.eclipse.emf.ecoretools.internal.views.EReferencesView,9,3
200806,org.eclipse.epf.authoring.ui.views.LibraryView,3,1
200806,org.eclipse.gef.ui.palette_view,100,18
200806,org.eclipse.gmf.bridge.ui.dashboard.DashboardPart,7,3
200806,org.eclipse.help.ui.HelpView,119,57
200806,org.eclipse.hyades.log.ui.internal.navigator.LogNavigator,3,2
200806,org.eclipse.hyades.trace.internal.ui.PDProjectExplorer,48,5
200806,org.eclipse.hyades.trace.views.adapter.internal.ExecutionStatisticViewer2,26,3
200806,org.eclipse.hyades.trace.views.adapter.internal.MemoryStatisticViewer,7,1
200806,org.eclipse.hyades.trace.views.adapter.internal.PatternViewer,17,1
200806,org.eclipse.images.views.ImageView,1,1
200806,org.eclipse.jdt.callhierarchy.view,969,103
200806,org.eclipse.jdt.debug.ui.DisplayView,100,18
200806,org.eclipse.jdt.junit.ResultView,2686,155
200806,org.eclipse.jdt.ui.JavadocView,242,105
200806,org.eclipse.jdt.ui.MembersView,145,9
200806,org.eclipse.jdt.ui.PackageExplorer,34251,994
200806,org.eclipse.jdt.ui.PackagesView,143,16
200806,org.eclipse.jdt.ui.ProjectsView,163,19
200806,org.eclipse.jdt.ui.SourceView,146,86
200806,org.eclipse.jdt.ui.TypeHierarchy,788,221
200806,org.eclipse.jdt.ui.TypesView,252,15
200806,org.eclipse.jpt.ui.jpaDetailsView,24,9
200806,org.eclipse.jpt.ui.jpaStructureView,7,5
200806,org.eclipse.m2m.internal.qvt.oml.common.views.MetamodelBrowserView,8,2
200806,org.eclipse.mylyn.tasks.ui.views.repositories,103,44
200806,org.eclipse.mylyn.tasks.ui.views.tasks,1206,237
200806,org.eclipse.net4j.util.Net4jContainerView,1,1
200806,org.eclipse.p2.ui.admin.ArtifactRepositoriesView,2,1
200806,org.eclipse.p2.ui.admin.MetadataRepositoriesView,2,1
200806,org.eclipse.pde.runtime.LogView,374,103
200806,org.eclipse.pde.runtime.RegistryBrowser,13,6
200806,org.eclipse.pde.ui.DependenciesView,26,12
200806,org.eclipse.pde.ui.PluginsView,90,35
200806,org.eclipse.php.ui.explorer,115,6
200806,org.eclipse.php.ui.functions,1,1
200806,org.eclipse.php.ui.projectOutline,2,1
200806,org.eclipse.rse.shells.ui.view.commandsView,27,3
200806,org.eclipse.rse.terminals.ui.view.TerminalView,5,1
200806,org.eclipse.rse.ui.view.monitorView,12,4
200806,org.eclipse.rse.ui.view.scratchpad.SystemScratchpadViewPart,4,2
200806,org.eclipse.rse.ui.view.SystemSearchView,9,1
200806,org.eclipse.rse.ui.view.systemTableView,15,4
200806,org.eclipse.rse.ui.view.systemView,101,11
200806,org.eclipse.rse.ui.view.teamView,6,1
200806,org.eclipse.search.ui.views.SearchView,6596,435
200806,org.eclipse.stp.sc.common.views.AnnotationView,2,1
200806,org.eclipse.swt.nebula.examples.view,9,1
200806,org.eclipse.swt.spy.views.SwtSpyView,1,1
200806,org.eclipse.swt.win32.extension.examples.view,2,1
200806,org.eclipse.team.ccvs.ui.EditorsView,1,1
200806,org.eclipse.team.ccvs.ui.RepositoriesView,295,93
200806,org.eclipse.team.svn.ui.annotate.AnnotateView,1,1
200806,org.eclipse.team.svn.ui.properties.PropertiesView,22,14
200806,org.eclipse.team.svn.ui.repository.browser.RepositoryBrowser,34,19
200806,org.eclipse.team.svn.ui.repository.RepositoriesView,218,64
200806,org.eclipse.team.sync.views.SynchronizeView,4485,276
200806,org.eclipse.team.ui.GenericHistoryView,1257,237
200806,org.eclipse.tptp.trace.jvmti.internal.client.views.CallStackViewer,1,1
200806,org.eclipse.tptp.trace.jvmti.internal.client.views.MemoryAnalysisViewer,4,2
200806,org.eclipse.ui.browser.view,18,7
200806,org.eclipse.ui.cheatsheets.views.CheatSheetView,25,9
200806,org.eclipse.ui.console.ConsoleView,19765,933
200806,org.eclipse.ui.forms.examples.views.FormView,9,1
200806,org.eclipse.ui.internal.introview,176,72
200806,org.eclipse.ui.navigator.ProjectExplorer,14052,582
200806,org.eclipse.ui.texteditor.TemplatesView,11,5
200806,org.eclipse.ui.views.AllMarkersView,8,1
200806,org.eclipse.ui.views.BookmarkView,22,8
200806,org.eclipse.ui.views.ContentOutline,4831,663
200806,org.eclipse.ui.views.ProblemView,4290,691
200806,org.eclipse.ui.views.ProgressView,737,253
200806,org.eclipse.ui.views.PropertySheet,1147,161
200806,org.eclipse.ui.views.ResourceNavigator,3828,213
200806,org.eclipse.ui.views.TaskList,315,126
200806,org.eclipse.ve.internal.java.codegen.editorpart.BeansList,89,5
200806,org.eclipse.wst.common.snippets.internal.ui.SnippetsView,68,43
200806,org.eclipse.wst.internet.monitor.view,54,4
200806,org.eclipse.wst.jsdt.ui.PackageExplorer,57,10
200806,org.eclipse.wst.jsdt.ui.TypeHierarchy,1,1
200806,org.eclipse.wst.server.ui.ServersView,4801,261
200807,org.eclipse.ajdt.ui.diff.ChangesView,2,2
200807,org.eclipse.ajdt.ui.EventTraceView,3,2
200807,org.eclipse.ant.ui.views.AntView,17612,1705
200807,org.eclipse.atf.mozilla.ide.debug.ui.scriptview,13,2
200807,org.eclipse.atf.mozilla.ide.ui.views.console,6,3
200807,org.eclipse.atf.mozilla.ide.ui.views.css,8,1
200807,org.eclipse.atf.mozilla.ide.ui.views.domsource,11,2
200807,org.eclipse.atf.mozilla.ide.ui.views.domwatcher,1,1
200807,org.eclipse.atf.mozilla.ide.ui.views.inspector,31,4
200807,org.eclipse.atf.mozilla.ide.ui.views.jseval,3,2
200807,org.eclipse.birt.chart.examples.view.examplesview,20,7
200807,org.eclipse.birt.report.designer.ui.attributes.AttributeView,3192,247
200807,org.eclipse.birt.report.designer.ui.lib.explorer.view,361,126
200807,org.eclipse.birt.report.designer.ui.views.data.DataView,3137,253
200807,org.eclipse.birt.report.examples.view.examplesview,30,7
200807,org.eclipse.buckminster.ui.views.ComponentBrowserView,74,42
200807,org.eclipse.buckminster.ui.views.ComponentOutlineView,39,27
200807,org.eclipse.cdt.debug.ui.DisassemblyView,290,123
200807,org.eclipse.cdt.debug.ui.executablesView,241,135
200807,org.eclipse.cdt.debug.ui.ModulesView,2,1
200807,org.eclipse.cdt.debug.ui.SignalsView,8,5
200807,org.eclipse.cdt.make.ui.views.MakeView,7149,996
200807,org.eclipse.cdt.ui.callHierarchy,999,168
200807,org.eclipse.cdt.ui.CView,10793,566
200807,org.eclipse.cdt.ui.includeBrowser,316,137
200807,org.eclipse.cdt.ui.IndexView,108,36
200807,org.eclipse.cdt.ui.tests.DOMAST.DOMAST,4,3
200807,org.eclipse.cdt.ui.typeHierarchy,247,85
