yearmonth,perspective,executeCount,userCount
200810,org.eclipse.cdt.ui.CPerspective,10267,3486
200810,org.eclipse.datatools.sqltools.debugger.perspectives.DebuggerPerspective,54,37
200810,org.eclipse.datatools.sqltools.sqleditor.perspectives.EditorPerspective,633,337
200810,org.eclipse.debug.ui.DebugPerspective,20092,7231
200810,org.eclipse.dltk.python.ui.PythonPerspective,4,3
200810,org.eclipse.dltk.ruby.ui.RubyBrowsingPerspective,2,1
200810,org.eclipse.dltk.ruby.ui.RubyPerspective,51,35
200810,org.eclipse.dltk.tcl.ui.TclPerspective,5,5
200810,org.eclipse.ecf.ui.perspective.communications,57,28
200810,org.eclipse.emf.ecoretools.perspective,29,16
200810,org.eclipse.epsilon.perspective.EpsilonPerspectiveFactory,1,1
200810,org.eclipse.equinox.p2.ui.admin.rcp.ProvisioningRCPPerspective,2,1
200810,org.eclipse.hibachi.ui.AdaPerspective,1,1
200810,org.eclipse.hyades.logging.adapter.ui.internal.perspective,3,2
200810,org.eclipse.hyades.trace.internal.ui.tracePerspective,75,34
200810,org.eclipse.hyades.ui.perspective.TestPerspective,3,3
200810,org.eclipse.jdt.ui.JavaBrowsingPerspective,1443,698
200810,org.eclipse.jdt.ui.JavaHierarchyPerspective,70,32
200810,org.eclipse.jdt.ui.JavaPerspective,73376,24516
200810,org.eclipse.jpt.ui.jpaPerspective,199,122
200810,org.eclipse.jst.j2ee.J2EEPerspective,30461,12884
200810,org.eclipse.jwt.we.perspective,3,1
200810,org.eclipse.m2m.atl.adt.atlPerspective,35,18
200810,org.eclipse.mat.ui.perspective,7,7
200810,org.eclipse.mtj.ui.MtjPerspective,18,13
200810,org.eclipse.mtl.ide.ui.MTLPerspective,4,1
200810,org.eclipse.mylyn.tasks.ui.perspectives.planning,302,161
200810,org.eclipse.pde.ui.PDEPerspective,1384,538
200810,org.eclipse.photran.ui.FortranPerspective,67,30
200810,org.eclipse.php.debug.ui.PHPDebugPerspective,60,24
200810,org.eclipse.php.perspective,636,267
200810,org.eclipse.ptp.debug.ui.PTPDebugPerspective,3,2
200810,org.eclipse.ptp.ui.PTPRunPerspective,8,2
200810,org.eclipse.rse.ui.view.SystemPerspective,212,109
200810,org.eclipse.soc.ide4edu.java.ui.infrastructure.JavaLitePerspective,3,1
200810,org.eclipse.stp.sc.jaxws.perspective,11,9
200810,org.eclipse.team.cvs.ui.cvsPerspective,1825,886
200810,org.eclipse.team.svn.ui.repository.RepositoryPerspective,1437,670
200810,org.eclipse.team.ui.TeamSynchronizingPerspective,11795,4116
200810,org.eclipse.tigerstripe.community.tigerstripePerspective,3,1
200810,org.eclipse.ui.atf.webDevPerspective,14,3
200810,org.eclipse.ui.resourcePerspective,2703,1180
200810,org.eclipse.v4all.ui.V4ALLPerspective,4,2
200810,org.eclipse.vtp.desktop.views.bisanalystperspective,2,2
200810,org.eclipse.wst.jsdt.ui.JavaPerspective,233,140
200810,org.eclipse.wst.web.ui.webDevPerspective,666,366
200810,org.eclipse.wst.xsl.ui.perspective,23,13
